filename,orientation,si_axis_true,axis_mismatch,recorded_shape_z,true_shape_z,recorded_extent_z_mm,true_extent_z_mm,recorded_fov,true_fov
20251028333-1.nii.gz,LPI,2,False,49,49,245.0,245.0,abdomen-only,abdomen-only
20251028339-1.nii.gz,LPI,2,False,103,103,515.0,515.0,extended,extended
20251028341-1.nii.gz,LPS,2,False,104,104,520.0,520.0,extended,extended
20251028345-1.nii.gz,LPI,2,False,104,104,520.0,520.0,extended,extended
20251028346-1.nii.gz,LPS,2,False,98,98,490.0,490.0,extended,extended
20251028348-1.nii.gz,LPI,2,False,106,106,530.0,530.0,extended,extended
20251028353-1.nii.gz,LPS,2,False,104,104,520.0,520.0,extended,extended
20251028354-1.nii.gz,LIP,1,True,47,798,235.0,559.3,abdomen-only,extended
20251028356-1.nii.gz,LAS,2,False,103,103,515.0,515.0,extended,extended
20251028357-1.nii.gz,LIP,1,True,66,880,330.0,617.0414,abdomen-only,extended
20251028361-1.nii.gz,PIR,1,True,81,770,405.0,539.7,extended,extended
20251028364-1.nii.gz,LPS,2,False,120,120,600.0,600.0,extended,extended
20251028365-1.nii.gz,LPS,2,False,104,104,520.0,520.0,extended,extended
20251028365-2.nii.gz,LPS,2,False,95,95,475.0,475.0,extended,extended
20251028368-1.nii.gz,LPS,2,False,101,101,505.0,505.0,extended,extended
20251028369-1.nii.gz,LIP,1,True,39,750,195.0,526.0417,abdomen-only,extended
20251028372-1.nii.gz,LPS,2,False,112,112,560.0,560.0,extended,extended
20251028374-1.nii.gz,LPS,2,False,116,116,580.0,580.0,extended,extended
20251028375-1.nii.gz,LIP,1,True,48,834,240.0,584.5,abdomen-only,extended
20251028378-1.nii.gz,LPS,2,False,121,121,605.0,605.0,extended,extended
20251028379-1.nii.gz,LAS,2,False,104,104,520.0,520.0,extended,extended
20251028380-1.nii.gz,LPS,2,False,116,116,580.0,580.0,extended,extended
20251028381-1.nii.gz,LIP,1,True,45,728,225.0,509.6,abdomen-only,extended
20251028382-1.nii.gz,LAS,2,False,115,115,575.0,575.0,extended,extended
20251028383-1.nii.gz,LPS,2,False,121,121,605.0,605.0,extended,extended
20251028384-1.nii.gz,LPS,2,False,101,101,505.0,505.0,extended,extended
20251028385-1.nii.gz,LPS,2,False,99,99,495.0,495.0,extended,extended
20251028386-1.nii.gz,LPS,2,False,84,84,420.0,420.0,extended,extended
20251028391-1.nii.gz,LPS,2,False,103,103,515.0,515.0,extended,extended
20251028392-1.nii.gz,LPS,2,False,122,122,610.0,610.0,extended,extended
