filename,orientation,si_axis_true,axis_mismatch,recorded_shape_z,true_shape_z,recorded_extent_z_mm,true_extent_z_mm,recorded_fov,true_fov
20251028209-1.nii.gz,LPI,2,False,48,48,240.0,240.0,abdomen-only,abdomen-only
20251028211-1.nii.gz,LAS,2,False,111,111,555.0,555.0,extended,extended
20251028212-1.nii.gz,LPS,2,False,99,99,495.0,495.0,extended,extended
20251028219-1.nii.gz,LPS,2,False,106,106,530.0,530.0,extended,extended
20251028228-1.nii.gz,LAS,2,False,104,104,520.0,520.0,extended,extended
20251028234-1.nii.gz,LPS,2,False,99,99,495.0,495.0,extended,extended
20251028237-1.nii.gz,LPS,2,False,61,61,305.0,305.0,abdomen-only,abdomen-only
20251028239-1.nii.gz,LAS,2,False,118,118,590.0,590.0,extended,extended
20251028240-1.nii.gz,LIP,1,True,45,512,225.0,499.02347,abdomen-only,extended
20251028243-1.nii.gz,LPS,2,False,104,104,520.0,520.0,extended,extended
20251028245-1.nii.gz,LPS,2,False,108,108,540.0,540.0,extended,extended
20251028247-1.nii.gz,LPS,2,False,111,111,555.0,555.0,extended,extended
20251028248-1.nii.gz,LPI,2,False,105,105,525.0,525.0,extended,extended
20251028252-1.nii.gz,LAS,2,False,102,102,510.0,510.0,extended,extended
20251028260-1.nii.gz,LIP,1,True,48,806,240.0,564.2,abdomen-only,extended
20251028263-1.nii.gz,LAS,2,False,103,103,513.1823,513.1823,extended,extended
20251028264-1.nii.gz,LPS,2,False,112,112,560.0,560.0,extended,extended
20251028267-1.nii.gz,LPS,2,False,98,98,490.0,490.0,extended,extended
20251028268-1.nii.gz,LPS,2,False,104,104,520.0,520.0,extended,extended
20251028269-1.nii.gz,LIP,1,True,54,512,216.0,368.0,abdomen-only,abdomen-only
20251028270-1.nii.gz,LPI,2,False,105,105,525.0,525.0,extended,extended
20251028273-1.nii.gz,LIP,1,True,39,572,195.0,457.6,abdomen-only,extended
20251028275-1.nii.gz,LPS,2,False,51,51,255.0,255.0,abdomen-only,abdomen-only
20251028275-2.nii.gz,LPS,2,False,113,113,565.0,565.0,extended,extended
20251028279-1.nii.gz,LPS,2,False,65,65,325.0,325.0,abdomen-only,abdomen-only
20251028286-1.nii.gz,LPS,2,False,95,95,475.0,475.0,extended,extended
20251028287-1.nii.gz,LPS,2,False,106,106,530.0,530.0,extended,extended
20251028288-1.nii.gz,LPI,2,False,102,102,510.0,510.0,extended,extended
20251028289-1.nii.gz,LPI,2,False,124,124,620.0,620.0,extended,extended
20251028290-1.nii.gz,LPS,2,False,85,85,511.0119,511.0119,extended,extended
20251028293-1.nii.gz,LIP,1,True,50,512,250.0,499.8219,abdomen-only,extended
20251028298-1.nii.gz,LAS,2,False,116,116,580.0,580.0,extended,extended
20251028299-1.nii.gz,LPS,2,False,100,100,590.9091,590.9091,extended,extended
20251028300-1.nii.gz,LPS,2,False,88,88,440.0,440.0,extended,extended
20251028304-1.nii.gz,LPS,2,False,104,104,520.0,520.0,extended,extended
20251028307-1.nii.gz,LPS,2,False,51,51,255.0,255.0,abdomen-only,abdomen-only
20251028308-1.nii.gz,LPI,2,False,47,47,235.0,235.0,abdomen-only,abdomen-only
20251028309-1.nii.gz,LIP,1,True,42,630,210.0,504.8,abdomen-only,extended
20251028311-1.nii.gz,LPI,2,False,109,109,545.0,545.0,extended,extended
20251028313-1.nii.gz,LPS,2,False,110,110,550.0,550.0,extended,extended
20251028314-1.nii.gz,LPS,2,False,128,128,640.0,640.0,extended,extended
20251028315-1.nii.gz,LAS,2,False,109,109,545.0,545.0,extended,extended
20251028319-1.nii.gz,LPI,2,False,107,107,535.0,535.0,extended,extended
20251028321-1.nii.gz,LPS,2,False,115,115,575.0,575.0,extended,extended
20251028322-1.nii.gz,LIP,1,True,47,512,235.0,554.11566,abdomen-only,extended
20251028325-1.nii.gz,LAS,2,False,117,117,585.0,585.0,extended,extended
20251028327-1.nii.gz,LIP,1,True,41,512,205.0,524.5734,abdomen-only,extended
20251028329-1.nii.gz,LIP,1,True,44,512,220.0,524.5734,abdomen-only,extended
20251028330-1.nii.gz,LIP,1,True,44,512,220.0,620.386,abdomen-only,extended
20251028332-1.nii.gz,LPS,2,False,83,83,415.0,415.0,extended,extended
20251028334-1.nii.gz,LPI,2,False,100,100,500.0,500.0,extended,extended
20251028335-1.nii.gz,LAS,2,False,105,105,525.0,525.0,extended,extended
20251028336-1.nii.gz,LPS,2,False,110,110,550.0,550.0,extended,extended
20251028337-1.nii.gz,LPS,2,False,93,93,465.0,465.0,extended,extended
20251028338-1.nii.gz,LPS,2,False,93,93,465.0,465.0,extended,extended
20251028340-1.nii.gz,LPI,2,False,111,111,555.0,555.0,extended,extended
20251028342-1.nii.gz,PIR,1,True,63,512,315.0,459.00177,abdomen-only,extended
20251028343-1.nii.gz,LPI,2,False,95,95,475.0,475.0,extended,extended
20251028344-1.nii.gz,LPS,2,False,100,100,500.0,500.0,extended,extended
20251028347-1.nii.gz,LAS,2,False,94,94,470.0,470.0,extended,extended
20251028350-1.nii.gz,LPI,2,False,122,122,610.0,610.0,extended,extended
20251028351-1.nii.gz,LAS,2,False,112,112,560.0,560.0,extended,extended
20251028352-1.nii.gz,LPI,2,False,100,100,500.0,500.0,extended,extended
20251028355-1.nii.gz,LPS,2,False,137,137,685.0,685.0,extended,extended
20251028358-1.nii.gz,LAS,2,False,84,84,420.0,420.0,extended,extended
20251028359-1.nii.gz,LPS,2,False,43,43,215.0,215.0,abdomen-only,abdomen-only
20251028360-1.nii.gz,LPS,2,False,110,110,550.0,550.0,extended,extended
20251028362-1.nii.gz,LAS,2,False,118,118,590.0,590.0,extended,extended
20251028366-1.nii.gz,LAS,2,False,114,114,570.0,570.0,extended,extended
20251028366-2.nii.gz,LIP,1,True,37,756,185.0,529.2,abdomen-only,extended
20251028367-1.nii.gz,LPS,2,False,136,136,544.0,544.0,extended,extended
20251028370-1.nii.gz,LPS,2,False,118,118,590.0,590.0,extended,extended
20251028371-1.nii.gz,LPS,2,False,96,96,480.0,480.0,extended,extended
20251028373-1.nii.gz,LPS,2,False,93,93,465.0,465.0,extended,extended
20251028376-1.nii.gz,LIP,1,True,58,714,290.0,571.98175,abdomen-only,extended
20251028387-1.nii.gz,LPS,2,False,100,100,500.0,500.0,extended,extended
20251028388-1.nii.gz,LPS,2,False,102,102,510.0,510.0,extended,extended
20251028389-1.nii.gz,LAS,2,False,100,100,500.0,500.0,extended,extended
20251028394-1.nii.gz,LIP,1,True,47,828,235.0,579.6,abdomen-only,extended
20251028001-1.nii.gz,LAS,2,False,111,111,555.0,555.0,extended,extended
20251028002-1.nii.gz,LAS,2,False,94,94,470.0,470.0,extended,extended
20251028004-1.nii.gz,LAS,2,False,101,101,505.0,505.0,extended,extended
20251028005-1.nii.gz,LAS,2,False,51,51,255.0,255.0,abdomen-only,abdomen-only
20251028009-1.nii.gz,LAS,2,False,106,106,530.0,530.0,extended,extended
20251028011-1.nii.gz,LAS,2,False,51,51,255.0,255.0,abdomen-only,abdomen-only
20251028012-1.nii.gz,LAS,2,False,108,108,540.0,540.0,extended,extended
20251028014-1.nii.gz,LAS,2,False,125,125,625.0,625.0,extended,extended
20251028016-1.nii.gz,LAS,2,False,118,118,590.0,590.0,extended,extended
20251028016-2.nii.gz,LAS,2,False,117,117,585.0,585.0,extended,extended
20251028017-1.nii.gz,LPS,2,False,80,80,400.0,400.0,extended,extended
20251028018-1.nii.gz,LAS,2,False,116,116,580.0,580.0,extended,extended
20251028019-1.nii.gz,LAS,2,False,34,34,170.0,170.0,abdomen-only,abdomen-only
20251028020-1.nii.gz,LAS,2,False,114,114,570.0,570.0,extended,extended
20251028021-1.nii.gz,LAS,2,False,512,512,569.28595,569.28595,extended,extended
20251028023-2.nii.gz,LAS,2,False,103,103,515.0,515.0,extended,extended
20251028028-1.nii.gz,LAS,2,False,86,86,430.0,430.0,extended,extended
20251028029-1.nii.gz,LPS,2,False,92,92,460.0,460.0,extended,extended
20251028033-1.nii.gz,LPS,2,False,128,128,512.0,512.0,extended,extended
20251028037-1.nii.gz,LPI,2,False,92,92,460.0,460.0,extended,extended
20251028038-1.nii.gz,LIP,1,True,55,834,275.0,584.5,abdomen-only,extended
20251028040-1.nii.gz,LPS,2,False,92,92,460.0,460.0,extended,extended
20251028041-1.nii.gz,LIP,1,True,47,662,235.0,495.19684,abdomen-only,extended
20251028042-1.nii.gz,LPI,2,False,115,115,580.0438,580.0438,extended,extended
20251028043-1.nii.gz,LIP,1,True,44,512,220.0,489.4422,abdomen-only,extended
20251028044-1.nii.gz,LPI,2,False,103,103,545.29407,545.29407,extended,extended
20251028044-2.nii.gz,LIP,1,True,45,512,235.22726,549.325,abdomen-only,extended
20251028045-1.nii.gz,LPS,2,False,89,89,445.0,445.0,extended,extended
20251028046-1.nii.gz,LPI,2,False,101,101,505.0,505.0,extended,extended
20251028047-1.nii.gz,LPS,2,False,98,98,490.0,490.0,extended,extended
20251028048-1.nii.gz,LPS,2,False,104,104,560.38837,560.38837,extended,extended
20251028049-1.nii.gz,LPS,2,False,123,123,615.0,615.0,extended,extended
20251028050-1.nii.gz,LPI,2,False,103,103,515.0,515.0,extended,extended
20251028050-2.nii.gz,LAS,2,False,111,111,552.37634,552.37634,extended,extended
20251028052-1.nii.gz,LPI,2,False,30,30,150.0,150.0,abdomen-only,abdomen-only
20251028053-1.nii.gz,LPS,2,False,121,121,605.0,605.0,extended,extended
20251028057-1.nii.gz,LIP,1,True,40,724,200.0,490.00003,abdomen-only,extended
20251028061-1.nii.gz,LIP,1,True,48,746,240.0,522.6005,abdomen-only,extended
20251028062-1.nii.gz,LPS,2,False,102,102,510.0,510.0,extended,extended
20251028064-1.nii.gz,LPS,2,False,103,103,515.0,515.0,extended,extended
20251028067-1.nii.gz,LPS,2,False,61,61,305.0,305.0,abdomen-only,abdomen-only
20251028068-1.nii.gz,LPS,2,False,95,95,475.0,475.0,extended,extended
20251028069-1.nii.gz,LPI,2,False,105,105,525.0,525.0,extended,extended
20251028070-1.nii.gz,LIP,1,True,37,672,190.13889,446.39667,abdomen-only,extended
20251028071-1.nii.gz,LPI,2,False,52,52,260.0,260.0,abdomen-only,abdomen-only
20251028073-1.nii.gz,LAS,2,False,103,103,515.0,515.0,extended,extended
20251028074-1.nii.gz,LPS,2,False,111,111,555.0,555.0,extended,extended
20251028075-1.nii.gz,LPS,2,False,115,115,569.755,569.755,extended,extended
